Cuisine,Dish name,Dish,taste,temperature,spice level,sweet level,salt level,sour level,bitter level
Chinese,panneer manchurian,Panneer Manchurian,Spicy,Hot,6,2,4,3,1
Italian,lasagna,Lasagna,Spicy,Hot,5,2,6,2,1
Indian,masala dosa,Masala Dosa,Spicy,Hot,5,2,3,1,1
American,pizza,pizza,Salty,Hot,4,1,5,,
American,cheesecake,Cheesecake,Sweet,Cold,1,5,,,
American,burger and pizza,Burger and pizza,Spicy,Hot,4,,,,
Indian,masala dose,Masala dose,Spicy,Hot,5,,,,
Indian,kaju masala with naan,Kaju Masala with Naan,Spicy,Hot,6,,,,
Indian,ragi ball,Ragi ball,Spicy,Hot,2,,,,
Indian,veg biriyani,Veg Biriyani,Spicy,Hot,6,,,,
Indian,dosa,Dosa,Spicy,Hot,3,,,,
American,fries,Fries,Salty,Hot,3,,4,,
Chinese,chicken momos,Chicken Momos,Spicy,Hot,7,,,,
American,cheese nachos,Cheese Nachos,Salty,Cold,3,,5,,
Indian,ghee roast chicken ,Ghee roast chicken ,Spicy,Hot,7,1,4,1,1
Indian,paneer butter masala ,Paneer butter masala ,Spicy,Hot,7,,,,
Chinese,live crickets glazed in soy sauce served with wasabi,live crickets glazed in soy sauce served with wasabi,Spicy,Hot,7,,,,
Korean,kimchi,Kimchi,Spicy,Cold,6,,,,
Indian,chicken biryani ,Chicken Biryani ,Spicy,Hot,7,,,,
Indian,rasmalai,Rasmalai,Sweet,Cold,1,9,,,
Italian,pesto pasta,Pesto Pasta,Spicy,Hot,4,,,,
Indian,shahi paneer,Shahi Paneer,Sweet,Hot,2,4,,,
Indian,paneer tikka,Paneer tikka,Spicy,Hot,6,,,,
Indian,ghee dosa,Ghee Dosa,Salty,Hot,3,,4,,
American,bacon,Bacon,Salty,Hot,3,,6,,
Indian,idly,Idly,Sour,Hot,0,,,3,
Italian,risotto,Risotto,Spicy,Hot,7,,,,
Chinese,momos,Momos,Spicy,Hot,7,,,,
Korean,ramyun,Ramyun,Spicy,Hot,6,,,,
Indian,gnocchi,Gnocchi,Spicy,Hot,6,,,,
Italian,gelato,Gelato,Sweet,Cold,1,8,,,
Indian,misal pav,Misal Pav,Spicy,Hot,6,,,,
Italian,parma ham,Parma Ham,Salty,Cold,4,,6,,
Korean,korean ramen,Korean Ramen,Spicy,Hot,6,,,,
Indian,naan and dal tadka,Naan and dal tadka,Spicy,Hot,5,,,,
Italian,ribollita,Ribollita,Spicy,Hot,3,,,,
Indian,pani puri,Pani Puri,Spicy,Cold,5,,,,
American,cookies,Cookies,Sweet,Hot,0,7,,,
Chinese,gobi noodles mix,Gobi Noodles Mix,Spicy,Hot,7,,,,
American,hot dog,Hot Dog,Spicy,Hot,4,,,,
Chinese,dim sums,Dim Sums,Spicy,Hot,7,,,,
Korean,kimbap,Kimbap,Sweet,Cold,4,5,,,
Chinese,szechwan chilli chicken,Szechwan Chilli Chicken,Spicy,Hot,8,,,,
Chinese,spring rolls,Spring rolls,Salty,Hot,5,,6,,
Italian,pizza,Pizza,Spicy,Hot,4,,,,
Chinese,stir fried tofu,Stir fried Tofu,Spicy,Hot,5,,,,
Chinese,honey chilli potato,Honey Chilli Potato,Spicy,Hot,7,,,,
Chinese,peri peri chicken satay,Peri Peri Chicken Satay,Spicy,Hot,8,,,,
Chinese,cantonese chicken soup,Cantonese Chicken Soup,Spicy,Hot,7,,,,
American,death by chocolate ice cream,Death by Chocolate ice cream,Sweet,Cold,1,8,,,
Indian,rasgulla,Rasgulla,Sweet,Cold,1,9,,,
Indian,tea,Tea,Bitter,Hot,2,5,,,5
Indian,masala dosa,Masala Dosa,Spicy,Hot,4,,,,
Indian,vada,Vada,Spicy,Hot,3,,,,
Indian,pakoda,Pakoda,Salty,Hot,3,,6,,
Indian,pav bhaji,Pav Bhaji,Spicy,Hot,6,,,,
Indian,carrot halwa,Carrot Halwa,Sweet,Cold,1,8,,,
Indian,gulab jamun,Gulab Jamun,Sweet,Cold,1,9,,,
Indian,rasamalai,Rasamalai,Sweet,Cold,1,9,,,
Indian,jalebi,Jalebi,Sweet,Hot,1,9,,,
Indian,kaju katli,Kaju katli,Sweet,Cold,1,9,,,
Indian,chicken 65,Chicken 65,Spicy,Hot,6,0,,,
American,fresh southern peach cobbler,Fresh Southern Peach Cobbler,Sweet,Cold,1,6,,,
American,mcveggie burger,McVeggie Burger,Salty,Hot,3,,6,,
Indian,amul icecream,Amul Icecream,Sweet,Cold,1,8,1,,
American,bananas foster,Bananas Foster,Sweet,Cold,1,7,1,,
American,pastry,Pastry,Sweet,Cold,1,7,1,,
American,pecan pie,Pecan Pie,Sweet,Cold,1,7,1,,
American,texas sheet cake,Texas Sheet Cake,Sweet,Cold,1,7,1,,
American,watergate salad,Watergate Salad,Sweet,Cold,1,6,1,,
American,fresh baked cherry pie,Fresh baked cherry Pie,Sweet,Cold,1,6,1,,
American,banana pudding,Banana Pudding,Sweet,Cold,1,6,1,,
American,lemon bars,Lemon Bars,Sweet,Cold,1,6,1,,
Indian,chicken tikka,Chicken Tikka,Spicy,Hot,7,,,,
Korean,khao suey,Khao suey,Spicy,Hot,5,,,,
Indian,chiken kadai,Chiken Kadai,Spicy,Hot,6,,,,
Italian,pasta,Pasta,Salty,Hot,4,,5,,
Indian,indian,Indian,Spicy,Hot,0,,,,
Indian,chicken hyderabadi ,Chicken Hyderabadi ,Spicy,Hot,7,,,,
Indian,kofta balls,kofta balls,Spicy,Hot,6,1,3,1,1
Indian,tomato dal with rice,Tomato Dal with Rice,Spicy,Hot,4,,,,
Indian,bisi bele bath,Bisi bele bath,Spicy,Hot,5,,,,
Chinese,gobi manchurian ,Gobi Manchurian ,Spicy,Hot,7,,,,
Indian,kaaju katli,Kaaju katli,Sweet,Cold,1,9,,,
American,chocolate sandwich ,Chocolate sandwich ,Sweet,Hot,1,7,,,
Indian,masala puri,Masala puri,Spicy,Hot,6,,,,
Indian,north indian thali ,North Indian thali ,Spicy,Hot,6,,,,
Indian,chicken biryani,Chicken biryani,Spicy,Hot,7,,,,
Indian,chole bature,Chole Bature,Spicy,Hot,6,,,,
Indian,biryani,Biryani,Spicy,Hot,7,,,,
Indian,chaat ,Chaat ,Spicy,Hot,4,,,,
Italian,spaghetti,Spaghetti,Spicy,Hot,3,,,,
Indian,biriyani,Biriyani,Spicy,Hot,6,,,,
American,sambar rice ,Sambar rice ,Spicy,Hot,5,2,,,
Indian,tomato chutney with dosa,Tomato chutney with dosa,Spicy,Hot,4,,,,
Indian,idly sambar,idly sambar,Spicy,Hot,4,,,,
Indian,biriyani,Biriyani,Spicy,Hot,7,,,,
Chinese,bat,Bat,Salty,Cold,4,,,,
Italian,pasta,Pasta,Spicy,Hot,4,,,,
Indian,chicken chettinad ,Chicken Chettinad ,Spicy,Hot,7,,,,
Indian,palak paneer,Palak Paneer,Spicy,Hot,6,,,,
Italian,lasagna,Lasagna,Salty,Hot,4,,6,,
Chinese,hakka noodles,Hakka Noodles,Spicy,Hot,6,,,,
Chinese,peking duck,Peking Duck,Spicy,Hot,3,,,,
American,burger,Burger,Spicy,Hot,3,,,,
Korean,kimchi,Kimchi,Sour,Cold,3,,,4,
Indian,karela ka bharta,Karela ka Bharta,Bitter,Cold,3,,,,5
