Cuisine,Dish name,Dish,taste,temperature,spice level,sweet level,salt level,sour level,bitter level
Chinese,panneer manchurian,Panneer Manchurian,Spicy,Hot,6,2.0,4.0,3.0,1.0
Italian,lasagna,Lasagna,Spicy,Hot,5,2.0,6.0,2.0,1.0
Indian,masala dosa,Masala Dosa,Spicy,Hot,5,2.0,3.0,1.0,1.0
American,pizza,pizza,Salty,Hot,4,1.0,5.0,4.0,3.4444444444444446
American,cheesecake,Cheesecake,Sweet,Cold,1,5.0,3.6578947368421053,4.0,3.4444444444444446
American,burger and pizza,Burger and pizza,Spicy,Hot,4,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,masala dose,Masala dose,Spicy,Hot,5,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,kaju masala with naan,Kaju Masala with Naan,Spicy,Hot,6,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,ragi ball,Ragi ball,Spicy,Hot,2,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,veg biriyani,Veg Biriyani,Spicy,Hot,6,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,dosa,Dosa,Spicy,Hot,3,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
American,fries,Fries,Salty,Hot,3,5.930232558139535,4.0,4.0,3.4444444444444446
Chinese,chicken momos,Chicken Momos,Spicy,Hot,7,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
American,cheese nachos,Cheese Nachos,Salty,Cold,3,5.930232558139535,5.0,4.0,3.4444444444444446
Indian,ghee roast chicken ,Ghee roast chicken ,Spicy,Hot,7,1.0,4.0,1.0,1.0
Indian,paneer butter masala ,Paneer butter masala ,Spicy,Hot,7,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Chinese,live crickets glazed in soy sauce served with wasabi,live crickets glazed in soy sauce served with wasabi,Spicy,Hot,7,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Korean,kimchi,Kimchi,Spicy,Cold,6,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,chicken biryani ,Chicken Biryani ,Spicy,Hot,7,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,rasmalai,Rasmalai,Sweet,Cold,1,9.0,3.6578947368421053,4.0,3.4444444444444446
Italian,pesto pasta,Pesto Pasta,Spicy,Hot,4,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,shahi paneer,Shahi Paneer,Sweet,Hot,2,4.0,3.6578947368421053,4.0,3.4444444444444446
Indian,paneer tikka,Paneer tikka,Spicy,Hot,6,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,ghee dosa,Ghee Dosa,Salty,Hot,3,5.930232558139535,4.0,4.0,3.4444444444444446
